,0,1,2,3,4,5,6,7,8,9,10,11,12
1,13,24,21.0,20.0,19.0,17.0,10.0,9.0,8.0,,,,
2,22,21,20.0,18.0,7.0,8.0,16.0,10.0,11.0,4.0,3.0,1.0,
3,21,24,23.0,22.0,15.0,14.0,11.0,,,,,,
4,22,21,20.0,18.0,16.0,10.0,15.0,14.0,11.0,4.0,3.0,,
5,21,20,18.0,16.0,8.0,6.0,5.0,9.0,10.0,11.0,4.0,,
6,24,23,22.0,15.0,10.0,9.0,8.0,6.0,,,,,
7,1,3,4.0,5.0,9.0,10.0,15.0,22.0,21.0,20.0,18.0,,
8,16,17,10.0,15.0,14.0,23.0,22.0,21.0,24.0,,,,
9,20,22,15.0,14.0,11.0,4.0,3.0,1.0,2.0,,,,
10,19,20,22.0,23.0,14.0,11.0,10.0,9.0,5.0,6.0,2.0,,
11,22,21,20.0,18.0,7.0,8.0,9.0,10.0,11.0,4.0,5.0,6.0,2.0
12,13,12,11.0,14.0,23.0,22.0,15.0,10.0,16.0,8.0,,,
13,8,9,5.0,4.0,3.0,12.0,13.0,24.0,21.0,,,,
14,13,24,21.0,20.0,18.0,16.0,17.0,19.0,,,,,
15,11,10,17.0,16.0,8.0,7.0,,,,,,,
16,24,21,20.0,22.0,15.0,14.0,11.0,4.0,5.0,9.0,8.0,,
17,20,18,7.0,8.0,6.0,5.0,4.0,11.0,12.0,3.0,1.0,,
18,22,15,19.0,17.0,16.0,10.0,9.0,5.0,4.0,3.0,1.0,2.0,
19,18,20,22.0,15.0,14.0,11.0,12.0,,,,,,
20,21,24,23.0,22.0,15.0,14.0,11.0,12.0,3.0,4.0,,,
21,23,22,15.0,14.0,11.0,4.0,5.0,6.0,8.0,,,,
22,22,15,10.0,17.0,,,,,,,,,
23,6,5,4.0,11.0,10.0,17.0,19.0,20.0,22.0,21.0,,,
24,17,19,20.0,22.0,23.0,24.0,21.0,,,,,,
25,18,16,17.0,10.0,15.0,14.0,,,,,,,
26,7,8,6.0,5.0,9.0,10.0,11.0,14.0,15.0,,,,
27,19,17,16.0,18.0,20.0,21.0,22.0,23.0,14.0,11.0,4.0,3.0,1.0
28,21,22,15.0,19.0,20.0,18.0,7.0,8.0,9.0,5.0,,,
29,6,8,16.0,18.0,20.0,19.0,15.0,22.0,21.0,24.0,,,
30,23,22,20.0,19.0,17.0,10.0,9.0,8.0,,,,,
31,5,4,11.0,14.0,15.0,22.0,,,,,,,
32,10,17,16.0,18.0,20.0,22.0,23.0,24.0,,,,,
33,10,16,8.0,6.0,5.0,4.0,3.0,1.0,2.0,,,,
34,20,22,23.0,14.0,11.0,10.0,16.0,8.0,6.0,5.0,,,
35,20,22,15.0,14.0,11.0,4.0,,,,,,,
36,23,14,15.0,22.0,20.0,19.0,17.0,16.0,8.0,6.0,,,
37,3,4,11.0,10.0,15.0,14.0,23.0,,,,,,
38,1,2,6.0,8.0,9.0,5.0,4.0,11.0,14.0,15.0,19.0,,
39,17,19,15.0,14.0,11.0,4.0,5.0,6.0,2.0,1.0,,,
40,6,8,9.0,10.0,15.0,19.0,20.0,21.0,24.0,13.0,,,
